,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12
num_orders_rolling_mean_21_sq,0.17958368463706517,-0.07373448772433758,-0.06136066342206507,0.026168977016222485,-0.1793716951735658,0.0031365162235615115,-0.07088470295372486,-0.16394027918708706,0.040282698593345906,-0.07158995681632983,-0.016490854075443043,0.21515247898334147
mean_orders_by_weekofyear,0.021736565792766303,0.07720913655185677,-0.04964115778468756,0.09244278677840402,-0.0013702352406890998,-0.15797744586377088,0.03440636686208823,0.05219638815760814,-0.25311147325430455,0.8759145146928972,0.0005717544445047311,0.274541872991212
meal_orders_mean_poly2_center_orders_mean,0.18142128364217203,0.005951949374922234,-0.0665669826299863,0.07456157775768336,-0.21144369842314933,-0.006889535312205219,0.07086363807361987,0.08274340140815103,0.10947434450836285,0.008417544970326185,-0.0732021334083555,-0.05892875545581166
num_orders_lag_1_sq,0.16219525163700896,-0.024561640443978044,0.23659584734426345,0.010121258000039431,-0.17789130411520357,-0.0950276579051046,0.21943279251006403,0.09288703433672678,-0.09856723439952866,-0.1113281336962932,0.07375770045373864,0.1530659776463122
price_diff,0.03803699774631921,0.17341578872554708,-0.11177627890701025,0.226715246595602,-0.03933488310096816,0.2912294727455327,-0.18811642776625256,0.010858059130990642,-0.3728610689480336,-0.11762985736207136,0.21875429652150788,-0.08753354906143641
center_meal_orders_mean_prod_sq,0.1784622357038993,0.025612465419769553,-0.08667777746488177,0.08188149322476923,-0.2019536776475403,-0.031081966324733097,0.016610378952227518,0.07682259641474054,0.22938404408722785,0.06310172031301726,-0.16359304470804725,-0.11484597698727075
num_orders_lag_1_cubic,0.15953169554276683,-0.022139367886352096,0.2326561795440911,-0.008321045567195238,-0.1670349330718701,-0.10164075284596624,0.22837934496928178,0.056220978177505196,-0.09753268208386208,-0.13138607627482596,0.0569185730908848,0.236911320169913
num_orders_rolling_mean_5_sq,0.1991218024766932,-0.059412637636503104,-0.015371287951984123,-0.04622937686141804,0.05747698944799073,-0.020206390775388956,-0.008101828444680322,-0.0956273881692915,-0.04139288466380806,0.05094354007194953,0.05784446155529622,-0.050390181191596266
num_orders_rolling_mean_2,0.1924902714123947,-0.03678143573319198,0.004770485170766562,-0.06314371295880078,0.19275277952642858,0.05767501230361058,0.08577951262356628,0.10771819619333585,-0.0019186031277954446,-0.00713679880913358,-0.04208741697371719,0.02595207133517758
lag1_x_lag3,0.18831262637612833,-0.0535754175473818,0.027073239487358455,0.013698356084192318,-0.02900661840781842,-0.04411780964718395,0.043376513647022844,-0.051104057119086346,-0.05356884247116953,-0.03426406227841289,0.02683002480610422,0.12307961675060677
rolling_mean_5_x_emailer,0.055230850319832034,0.2879311486869725,-0.11777432381661289,-0.13683933100418186,0.044413312366709375,-0.15252925143789173,-0.041953091054053114,0.033101588915036596,0.002244438925476084,-0.136789825513706,-0.2012523282972026,0.23575612666197523
lag1_x_home,0.08749743914989348,0.09001889961554024,0.40788942469092326,-0.03468808400912492,-0.06425764290657167,0.0018274189595706867,-0.003013665775182866,0.027695653653030464,-0.042016137846210305,0.13114085302147468,0.11199870274978928,-0.29050160937044905
rolling_mean_2_x_home,0.09019293278825541,0.18471722089894288,0.3685216695875305,-0.13730102967388988,-0.000505313403545771,0.11742964511745033,-0.1453157608665323,-0.00889652695776169,0.051568288162473136,0.09040069933965128,0.007879359944624994,-0.09858006869660478
rolling_mean_2_x_price_diff,0.05417658421595295,0.23206205804617544,-0.22066213063747636,0.1798983203608027,-0.052491211421108894,0.27032752373440805,-0.018778973334333225,0.0008191379622803246,-0.2075852104932701,-0.03200537363074574,0.1466898215713153,0.042763749089068534
num_orders_rolling_mean_10,0.1968083811794478,-0.04071417282153798,-0.054752989000731514,-0.035860333637166564,-0.010012682598659431,-0.019248154560511908,-0.09419237389889991,-0.13096903338182772,-0.010257129545589092,0.04928775699892756,0.14922930485240354,-0.13001731595251945
checkout_price,0.07864267525948948,0.10474197567055274,0.16014044292975765,0.41539311288908826,0.2113737040123499,-0.1580401476451416,-0.02313623372203598,-0.12522659749337542,0.010286777408908224,-0.011095054058290841,-0.1419028612066951,-0.053809273590364214
center_mean_x_meal_mean_x_discount,0.07645636134845625,0.24590079343349797,-0.08175563010583206,0.09212291087063498,-0.03408778478025471,0.13885197827299817,0.39876183919689256,-0.05552655492905709,-0.0007109502746843034,0.00024259375184742542,0.12012623248708432,-0.1989609674782313
num_orders_rolling_mean_10_sq,0.19830735152143586,-0.038364443011888634,-0.013339763101101123,-0.023970962668366534,-0.054911410012867486,-0.03210641758177168,-0.09444550685579302,-0.11495995079493516,-0.03796931105485965,0.03771485859919507,0.13247576414304837,-0.13028225954191464
center_meal_orders_mean_prod_cubic,0.17800494360756655,0.006471786533504454,-0.09027933309566982,0.087185885013524,-0.20121907035872244,-0.021911675184278702,0.005184704529380028,0.07074213937619389,0.21338883780074436,0.07159417864581204,-0.1553957716382036,-0.07159051005531422
homepage_featured_poly2_discount,0.055392923446134376,0.2202122498551237,0.2823406164146078,-0.17592890873655032,0.015856122797002135,0.25102316721897316,-0.04635470388159053,-0.008829165602171117,0.05262999339675548,0.08277327056351856,-0.026989968480248178,-0.038365209295871734
center_meal_orders_std_prod,0.1138253378256948,0.14597761891107727,-0.10136320373005883,0.10975489915264698,-0.14677047611213087,-0.02207702399364595,0.1687081834441462,-0.07212107978405691,0.34122474306305023,0.15419937509013668,-0.24014806539385836,-0.20360495724606426
price_diff_x_home,0.033295931207246846,0.2255180708041663,0.014809904062395355,-0.06653085838703235,-0.05569105141350505,0.38643638478889947,-0.181614664456302,-0.004539607726398036,0.15708405947066376,0.008479051898235895,-0.11362045945009214,0.2046528104027792
rolling_mean_3_x_emailer,0.06626541546985751,0.2886445289061803,-0.10767000386984199,-0.12543314119174173,0.03202040696617807,-0.27203378053866617,-0.0663265216118932,0.05365887933490825,0.010300828705447568,-0.047177873132393404,-0.09145823055127061,0.07452699955945499
checkout_price_sq,0.07972361138145058,0.0984365086475353,0.17100098496515181,0.4154179260613663,0.23577919230478164,-0.12683209179163193,-0.06787743029341489,-0.14686783544472762,0.04015043795097604,-0.052363991535667224,-0.17861201989447242,-0.007474399866316814
mean_by_month_x_checkout,0.0783608331405983,0.07469837260860741,0.15046503849947046,0.4053613745283188,0.2288250617590658,-0.09638704423247205,-0.14630269076583075,-0.09843450942343059,-0.006517035226645099,-0.11933744484151489,-0.06196336517804294,0.020036694310000845
homepage_featured,0.06749866976564131,0.2014355382193023,0.30888193317203105,-0.1746529667703095,0.013242906346664854,0.24710003746061007,-0.1383563558863147,-0.03237855006787578,0.0946630348491813,0.06834340690179685,-0.134752870600822,0.08487443853138878
rolling_mean_2_sqrt,0.18500725798625278,-0.07590811197725432,-0.015086958277988788,-0.08802916944876754,0.22652457364448447,0.0748264034087865,0.08089445508569396,0.0834759184414616,-0.0021683828013481345,0.00032379797788288417,-0.030881498913645864,0.03692768160490426
num_orders_rolling_mean_14_sqrt,0.19281352831058393,-0.06528949698479652,-0.056779018484003754,-0.02744337588137421,-0.03948808475721673,0.03941898818996116,-0.12965321529922966,-0.2052333533846887,0.043476680317199354,0.00464920666963697,0.07143150302996601,0.015129214728005515
num_orders_rolling_mean_5_sqrt,0.20091631731774232,-0.02942231401641731,0.020228706694986547,-0.02412516465179609,-0.00965545211361537,-0.05447382602028539,-0.02162703293137789,-0.08112192629503741,-0.05716894497447708,0.05929664424334421,0.0666565457731526,-0.08467786966761752
rolling_mean_2_cubic,0.16672119892104503,-0.08988165008339222,-0.07551023625924208,-0.0822598395096015,0.30936874099770495,0.08640992682668759,0.06318597049641397,0.09349818755869505,-0.006074851451403324,0.008058301862007268,-0.027359102859774942,0.018503539152149983
lag1_x_emailer,0.05402352611035742,0.2685246300121733,-0.06868857062805181,-0.1365609467630163,0.0035061309418118044,-0.32166052870857065,-0.15499218947238372,0.08060219646876159,-0.028404499950046336,-0.03389861602904221,0.1420293131680593,-0.1346365386269603
meal_orders_median,0.11128152011534806,-0.034007264070225945,-0.13657533893331514,0.02208477466048223,0.07091247256094815,0.04747373756206249,-0.2192819300559513,0.39015428910957833,0.12099832585494719,0.07267467875266238,0.06599410148753952,-0.2210672313523747
rolling_mean_2_x_rolling_mean_3_x_emailer,0.05026554861491005,0.3027964365154626,-0.10815741576627234,-0.13759843542564384,0.06677495664126043,-0.1699511639120855,-0.03439195454041911,0.08091786390895286,-0.00312773656700406,-0.12803926527888126,-0.1406316467770279,0.20341698497495114
meal_mean_x_discount,0.058425885918112305,0.25846125495201794,-0.09281367239900763,0.07405656776539082,0.031215682077591483,0.08185135887979467,0.38756301013456523,-0.05980836793221619,-0.12892845593212277,-0.015099454897444069,0.17009600637357644,-0.07353467134250147
rolling_mean_2_sq,0.18831065796989277,-0.06016506892802899,0.015961412326270068,-0.06980852745173016,0.19799091643725225,0.04916355307047414,0.08630798574522616,0.10845639811218946,-0.025293352133153608,0.006229150202365053,0.010703357249903246,-0.011235989652342881
num_orders_lag_5,0.11563742687028568,-0.07945970700406138,0.008335332430709783,0.10457019155780442,-0.10805235018791488,0.06526961325863456,-0.2789734042451991,0.21177309847810705,-0.31402846524599304,0.013871227117079794,-0.20742702106043207,0.1318317061414988
num_orders_rolling_mean_10_sqrt,0.194281533416829,-0.04139587481500086,-0.04255754788179727,-0.024773250935902758,-0.10432374355992931,-0.060509068440528495,-0.12743423290920222,-0.1398069460889443,-0.009641834455630157,-0.0022789540613794516,0.08216254647844147,-0.06735222883842873
emailer_for_promotion_ewm_alpha_0.7,-0.0040875291389372665,0.0014095016279081559,0.06791817667294643,0.26526629370184424,0.06565595162157258,0.013847834573428731,-0.09633948842488325,0.32233482825439674,0.4897577723662645,0.03288697998278906,0.5702104460773958,0.3418527180979247
num_orders_lag_10,0.08649451583028837,-0.06632158406864415,0.05224853019603664,0.14397547319622697,-0.18292749077985626,0.04205621291617314,-0.057201664903763584,0.45803267582633306,-0.23608200852156175,-0.11955393828421908,-0.2052708576648509,-0.11219778924145853
rolling_mean_2_x_emailer,0.058529604701614266,0.235884677968349,-0.02296023010643823,-0.15981766229763236,0.027624854897312007,-0.33417034005221696,-0.19207890086796822,0.09664976617430737,-0.06327007843253223,-0.06645820596100825,0.258496912971604,-0.17715109961541595
